City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,rawson,-43.3002,-65.1023,23.73,46,100,5.06,AR,1704327047
83,wolmaransstad,-27.1974,25.9831,20.14,46,43,2.61,ZA,1704327089
84,punta arenas,-53.15,-70.9167,13.95,76,99,5.73,CL,1704326940
85,constantia,44.1833,28.65,7.38,84,75,6.54,RO,1704327072
86,ilulissat,69.2167,-51.1,-2.99,43,20,9.26,GL,1704327091
87,vallenar,-28.5708,-70.7581,22.88,51,0,2.36,CL,1704327092
88,kununurra,-15.7667,128.7333,29.99,74,100,2.57,AU,1704326936
89,kirakira,-10.4544,161.9205,29.25,79,86,2.47,SB,1704327093
90,ad dawadimi,24.5077,44.3924,10.64,83,5,4.21,SA,1704327093
91,kapuskasing,49.4169,-82.4331,-13.7,81,100,3.39,CA,1704327094
92,gudauta,43.1055,40.6207,9.74,71,100,4.99,GE,1704327094
93,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,72,0,5.0,RU,1704327094
94,port mathurin,-19.6833,63.4167,27.86,81,83,4.96,MU,1704327095
95,bairnsdale,-37.8333,147.6167,22.25,87,100,2.24,AU,1704327096
96,sinabang,2.4803,96.3801,26.14,83,100,1.17,ID,1704327096
97,holualoa,19.6228,-155.9522,24.91,69,0,3.6,US,1704326816
98,badger,64.8,-147.5333,-23.07,70,40,4.12,US,1704327097
99,pearsall,28.8922,-99.095,12.66,66,12,3.77,US,1704327097
100,saipan,15.1355,145.701,29.39,74,0,6.17,MP,1704327098
101,margaret river,-33.95,115.0667,17.7,61,1,5.28,AU,1704327098
102,coahuayana de hidalgo,18.7,-103.6583,25.35,68,19,1.6,MX,1704327099
103,georgetown,5.4112,100.3354,26.64,78,20,1.54,MY,1704327086
104,champerico,14.3,-91.9167,27.43,68,75,3.11,GT,1704327100
105,sheldon,43.1811,-95.8561,-3.81,82,100,3.6,US,1704326810
106,mount isa,-20.7333,139.5,29.87,54,70,4.12,AU,1704327101
107,ayr,55.4627,-4.6339,7.99,87,75,4.63,GB,1704327101
108,susuman,62.7833,148.1667,-37.23,100,100,0.45,RU,1704327101
109,avarua,-21.2078,-159.775,26.03,83,95,4.63,CK,1704327102
110,iskateley,67.6803,53.1512,-11.7,93,100,6.4,RU,1704327102
111,salalah,17.0151,54.0924,22.05,49,0,1.54,OM,1704327103
112,port elizabeth,-33.918,25.5701,20.05,95,100,0.45,ZA,1704327103
113,tahe,52.3333,124.7333,-28.42,100,73,0.53,CN,1704327104
114,gerash,27.6652,54.1371,10.62,71,2,2.71,IR,1704327104
115,okhotsk,59.3833,143.3,-30.37,82,15,3.89,RU,1704327105
116,westport,41.1415,-73.3579,4.75,66,100,3.09,US,1704327106
117,gao,16.6362,1.637,20.24,15,75,3.85,ML,1704327106
118,qui nhon,13.7667,109.2333,22.72,80,77,6.53,VN,1704327107
119,hermanus,-34.4187,19.2345,19.89,82,99,7.92,ZA,1704326975
120,mahajanga,-15.7167,46.3167,27.04,83,97,2.93,MG,1704327107
121,rongelap,11.1635,166.8941,27.01,76,93,9.49,MH,1704327108
122,pemangkat,1.1667,108.9667,25.46,90,99,2.74,ID,1704327108
123,toliara,-23.35,43.6667,24.26,87,13,3.21,MG,1704327109
124,namie,37.4833,141.0,7.62,88,99,4.84,JP,1704327109
125,selma,36.5708,-119.6121,12.88,100,100,1.54,US,1704327110
126,olonkinbyen,70.9221,-8.7187,-3.96,75,100,8.05,SJ,1704327110
127,muroto-misakicho,33.2833,134.15,10.08,54,3,5.69,JP,1704327111
128,bredasdorp,-34.5322,20.0403,19.14,86,100,6.42,ZA,1704327111
129,bandar lampung,-5.4254,105.258,23.34,96,100,0.91,ID,1704327112
130,san andres,12.5847,-81.7006,27.35,77,54,4.37,CO,1704327050
131,tobelo,1.7284,128.0095,28.77,77,59,3.54,ID,1704327114
132,goure,13.9835,10.2704,17.93,20,39,4.06,NE,1704327114
133,praia da vitoria,38.7333,-27.0667,14.31,95,76,4.0,PT,1704327115
134,podporozh'ye,60.9112,34.1706,-28.8,99,31,1.84,RU,1704327115
135,west island,-12.1568,96.8225,26.99,89,75,6.69,CC,1704327116
136,terenozek,45.05,64.9833,-0.03,54,78,4.16,KZ,1704327117
137,tazovsky,67.4667,78.7,-21.11,98,99,6.38,RU,1704327118
138,dongsheng,39.8161,109.9776,-8.62,71,2,6.82,CN,1704327119
139,mata-utu,-13.2816,-176.1745,28.84,75,97,4.93,WF,1704327120
140,puerto natales,-51.7236,-72.4875,12.49,82,100,1.95,CL,1704327120
141,nushki,29.5542,66.0215,11.8,44,12,2.5,PK,1704327121
142,palu,-0.8917,119.8707,27.37,86,55,0.49,ID,1704327121
143,happy valley-goose bay,53.3168,-60.3315,-15.91,90,10,1.76,CA,1704327122
144,queenstown,-31.8976,26.8753,15.49,92,52,1.28,ZA,1704327123
145,xam nua,20.4197,104.0439,13.6,96,98,1.04,LA,1704327123
146,mejit,10.2753,170.8646,26.87,79,98,11.03,MH,1704327124
147,klyuchi,52.2667,79.1667,-17.38,98,72,2.03,RU,1704327125
148,vila velha,-20.3297,-40.2925,25.97,95,100,2.24,BR,1704327126
149,qeshm,26.9581,56.2719,21.32,60,2,4.84,IR,1704327126
150,tyumentsevo,53.3224,81.498,-24.4,100,74,1.38,RU,1704327127
151,east london,-33.0153,27.9116,20.39,92,100,4.16,ZA,1704327127
152,qaqortoq,60.7167,-46.0333,-2.73,97,100,1.8,GL,1704327128
153,puerto ayora,-0.7393,-90.3518,25.31,94,72,2.24,EC,1704327128
154,tindouf,27.6711,-8.1474,13.36,26,32,1.13,DZ,1704327129
155,bereznik,62.8551,42.7072,-34.27,100,18,0.26,RU,1704327129
156,pulsano,40.3821,17.3564,13.79,76,72,0.45,IT,1704327130
157,puttur,12.7667,75.2167,24.06,88,100,0.82,IN,1704327131
158,raja,8.4596,25.678,20.78,19,100,1.69,SS,1704327131
159,kulhudhuffushi,6.6221,73.07,27.66,78,87,5.09,MV,1704327131
160,colonia,50.9333,6.95,9.77,86,75,7.2,DE,1704326986
161,charters towers,-20.1,146.2667,30.75,52,16,3.3,AU,1704327133
162,stanley,54.868,-1.6985,4.87,95,75,1.54,GB,1704327133
163,arvayheer,46.2639,102.775,-16.01,56,1,3.45,MN,1704327134
164,carazinho,-28.2839,-52.7864,18.97,92,8,2.96,BR,1704327135
165,kudymkar,59.0173,54.656,-18.08,87,100,4.98,RU,1704327135
166,nyurba,63.2842,118.3319,-32.3,98,100,2.52,RU,1704327136
167,tucuma,-0.1833,-50.05,25.36,89,99,3.31,BR,1704327137
168,la sarre,48.8002,-79.1996,-13.06,86,99,4.37,CA,1704327138
169,visakhapatnam,17.69,83.2093,19.41,76,63,2.33,IN,1704327138
170,agat village,13.3886,144.6585,30.06,78,40,7.2,GU,1704327139
171,tiksi,71.6872,128.8694,-37.32,99,80,1.87,RU,1704327140
172,lompoc,34.6391,-120.4579,15.29,67,40,9.26,US,1704327043
173,nova sintra,14.8667,-24.7167,21.68,66,94,5.83,CV,1704327141
174,uyar,55.81,94.3153,-17.57,90,100,6.66,RU,1704327142
175,tidjikja,18.5564,-11.4271,20.63,14,0,4.54,MR,1704327142
176,torghay,49.6339,63.4981,-3.9,80,100,5.98,KZ,1704327143
177,labytnangi,66.6572,66.4183,-20.8,89,100,3.41,RU,1704327144
178,kayangel,8.0823,134.7173,28.66,76,27,5.37,PW,1704327144
179,fale old settlement,-9.3852,-171.2468,29.1,73,75,5.28,TK,1704327145
180,kerikeri,-35.2268,173.9474,19.24,73,100,1.75,NZ,1704327003
181,prince george,53.9166,-122.753,0.72,94,96,0.72,CA,1704326962
182,rexburg,43.826,-111.7897,-0.01,64,100,1.54,US,1704327058
183,hadibu,12.65,54.0333,23.53,73,12,3.76,YE,1704327147
184,tenenkou,14.4572,-4.9169,23.34,11,96,4.04,ML,1704327148
185,essaouira,31.5125,-9.77,17.04,56,1,1.02,MA,1704327148
186,sitka,57.0531,-135.33,8.94,57,100,8.75,US,1704327149
187,furth im wald,49.3097,12.84,7.05,91,100,8.43,DE,1704327149
188,guiping,23.3925,110.0814,11.91,63,27,1.98,CN,1704327150
189,haiku-pauwela,20.9219,-156.3051,27.36,52,40,5.66,US,1704327150
190,jogeva,58.7467,26.3939,-20.5,89,47,4.94,EE,1704327151
191,revda,56.801,59.9303,-16.89,95,100,5.18,RU,1704327152
192,karukh,34.4811,62.5863,7.84,47,73,2.25,AF,1704327152
193,barra de santo antonio,-9.4047,-35.5072,26.56,84,27,4.97,BR,1704327153
194,viedma,-40.8135,-62.9967,24.12,50,79,8.98,AR,1704327154
195,wailua homesteads,22.0669,-159.378,26.44,73,0,3.58,US,1704327154
196,dudinka,69.4058,86.1778,-24.66,95,100,6.26,RU,1704327155
197,kavaratti,10.5669,72.642,25.12,92,100,4.68,IN,1704327156
198,pisco,-13.7,-76.2167,23.03,83,100,7.2,PE,1704327157
199,boa vista,2.8197,-60.6733,30.92,37,26,5.48,BR,1704327157
200,katsuren-haebaru,26.3369,127.8719,17.21,48,75,4.63,JP,1704327159
201,verkhnevilyuysk,63.4453,120.3167,-34.78,100,97,1.6,RU,1704327159
202,roma,43.2128,-75.4557,2.75,78,100,0.45,US,1704327118
203,brisas de zicatela,15.8369,-97.0419,27.29,65,40,1.54,MX,1704327161
204,auki,-8.7676,160.7034,28.99,77,63,2.99,SB,1704327162
205,codrington,-38.2667,141.9667,18.31,65,100,7.23,AU,1704327162
206,motueka,-41.1333,173.0167,20.41,63,78,3.76,NZ,1704327163
207,gadzhiyevo,69.2551,33.3362,-14.71,80,100,10.56,RU,1704327163
208,panaba,21.2833,-88.2667,23.05,61,64,2.19,MX,1704327164
209,vorgashor,67.5833,63.95,-20.64,98,100,6.89,RU,1704327164
210,lagunas,-5.2269,-75.6753,27.18,72,51,0.99,PE,1704327164
211,cururupu,-1.8283,-44.8683,24.7,93,81,1.39,BR,1704327093
212,las khorey,11.1595,48.1967,23.27,64,71,2.77,SO,1704327165
213,pacific grove,36.6177,-121.9166,14.38,77,40,10.28,US,1704327166
214,zhangye,38.9342,100.4517,-5.72,48,56,2.03,CN,1704327166
215,goroka,-6.0834,145.3873,25.3,54,91,0.97,PG,1704327167
216,taltal,-25.4,-70.4833,19.08,80,19,1.74,CL,1704327021
217,kill devil hills,36.0307,-75.676,8.32,75,0,2.06,US,1704327167
218,kingston,17.997,-76.7936,27.53,86,20,1.03,JM,1704327123
219,kikwit,-5.041,18.8162,21.45,92,98,0.79,CD,1704327168
220,chateauneuf-sur-loire,47.8657,2.219,9.33,81,98,7.17,FR,1704327169
221,levuka,50.1834,-105.4011,-7.33,59,100,3.14,CA,1704327169
222,nuuk,64.1835,-51.7216,-3.66,86,100,11.32,GL,1704327169
223,lazaro cardenas,17.9583,-102.2,25.4,68,1,2.16,MX,1704326965
224,kas,36.2018,29.6377,14.73,71,96,3.1,TR,1704327170
225,victoria point,-27.5833,153.3,30.2,76,45,3.13,AU,1704327171
226,yigo village,13.5361,144.8886,29.16,77,75,7.2,GU,1704327171
227,geraldton,-28.7667,114.6,26.23,36,0,9.26,AU,1704327171
228,le morne-rouge,14.7667,-61.1333,22.76,81,82,3.36,MQ,1704327172
229,fada,9.5667,8.3,20.2,25,88,2.61,NG,1704327173
230,kanniyakumari,8.0833,77.5667,25.57,82,90,7.22,IN,1704327173
231,rabo de peixe,37.8,-25.5833,17.77,99,40,9.26,PT,1704327174
232,buala,-8.145,159.5921,30.39,68,69,1.9,SB,1704327174
233,at taj,24.2049,23.2857,12.61,38,12,2.7,LY,1704327175
234,paramonga,-10.6667,-77.8333,22.23,84,76,3.53,PE,1704327175
235,wynyard,-41.0,145.7167,18.46,70,58,2.74,AU,1704327176
236,ugoofaaru,5.6667,73.0,27.71,78,95,3.78,MV,1704327176
237,mongoumba,3.6415,18.5936,21.75,36,35,1.3,CF,1704327177
238,bubaque,11.2833,-15.8333,26.03,80,21,6.26,GW,1704327177
239,tofol,5.3248,163.0078,30.88,70,75,5.66,FM,1704327178
240,oarai,36.3167,140.6,9.08,71,97,7.9,JP,1704327178
241,san carlos,9.6612,-68.5827,28.3,56,78,1.93,VE,1704327179
242,suifenhe,44.4,131.1667,-12.02,87,64,1.18,CN,1704327179
243,gaiman,-43.2897,-65.4929,25.49,38,97,6.01,AR,1704327180
244,andergrove,-21.0833,149.1833,33.69,67,42,2.52,AU,1704327180
245,utrik,11.2278,169.8474,26.81,81,85,11.0,MH,1704327180
246,trabzon,40.9167,39.8333,7.05,76,0,1.03,TR,1704327181
247,batyrevo,55.0675,47.6111,-18.14,96,100,5.0,RU,1704327181
248,port antonio,18.18,-76.4612,27.95,84,78,3.87,JM,1704327182
249,ambon,-3.6954,128.1814,27.08,94,40,2.06,ID,1704327183
250,weno,7.4515,151.8468,29.97,74,20,5.14,FM,1704327183
251,grand baie,-20.0182,57.5802,26.36,95,100,0.89,MU,1704327184
252,canutama,-6.5339,-64.3831,26.76,81,95,0.94,BR,1704327184
253,veraval,20.9,70.3667,19.12,41,1,4.76,IN,1704327185
254,nantucket,41.2835,-70.0995,1.68,80,0,0.0,US,1704327021
255,fort bragg,35.139,-79.006,8.91,59,100,2.06,US,1704327186
256,tralee,52.2704,-9.7026,7.42,80,48,5.76,IE,1704327187
257,baruun-urt,46.6806,113.2792,-15.31,94,70,3.01,MN,1704327187
258,pavlovsk,50.4578,40.1081,-7.26,65,100,3.42,RU,1704327188
259,mariehamn,60.0973,19.9348,-8.99,85,100,4.63,AX,1704327189
260,coquimbo,-29.9533,-71.3436,17.49,84,12,2.55,CL,1704327189
261,thompson,55.7435,-97.8558,-22.34,98,27,2.21,CA,1704327190
262,college,64.8569,-147.8028,-23.03,70,40,4.12,US,1704327191
263,harper,4.375,-7.7169,26.44,82,54,3.21,LR,1704327191
264,comarnic,45.25,25.6333,5.16,71,18,2.95,RO,1704327192
265,urk,52.6625,5.6014,8.36,94,96,6.16,NL,1704327192
266,puerto armuelles,8.2833,-82.8667,27.87,84,80,2.72,PA,1704327193
267,almenara,-16.1836,-40.6944,24.95,75,95,1.22,BR,1704327194
268,sechura,-5.5569,-80.8222,25.55,65,71,6.87,PE,1704327195
269,isangel,-19.55,169.2667,28.58,65,99,3.53,VU,1704327196
270,woodward,36.4337,-99.3904,6.65,64,0,3.09,US,1704327196
271,bargaal,11.2864,51.0773,23.17,74,12,3.2,SO,1704327197
272,chimore,-16.9833,-65.1333,24.51,91,100,0.53,BO,1704327198
273,bardai,11.65,7.2333,18.65,19,6,3.85,NG,1704327198
274,la paz,-16.5,-68.15,10.99,81,75,2.57,BO,1704327199
275,la passe,45.5549,-0.8967,9.13,85,4,6.36,FR,1704327200
276,vyaz'ma,55.2104,34.2951,-23.43,97,34,3.47,RU,1704327200
277,tarawa,1.419,172.984,28.13,81,100,6.67,KI,1704327201
278,namibe,-15.1961,12.1522,21.84,71,11,3.22,AO,1704327202
279,richfield,44.8833,-93.283,-1.48,67,100,4.63,US,1704327099
280,pandan,14.0453,124.1694,26.43,86,68,4.18,PH,1704327204
281,kaduy,59.2,37.15,-29.61,98,22,1.68,RU,1704327204
282,trairi,-3.2778,-39.2689,26.71,83,44,3.81,BR,1704326972
283,cooper's town,26.8667,-77.5167,21.48,63,100,6.62,BS,1704327206
284,uyuni,-20.4597,-66.825,14.28,52,47,10.05,BO,1704327206
285,saint-joseph,-21.3667,55.6167,25.21,81,99,2.01,RE,1704327207
286,macomb,40.4592,-90.6718,0.99,83,100,2.57,US,1704327207
287,alice springs,-23.7,133.8833,26.75,47,61,6.17,AU,1704327096
288,kananga,-5.8958,22.4178,20.36,97,96,1.04,CD,1704327209
289,san patricio,28.017,-97.5169,13.24,71,50,5.03,US,1704327209
290,thunder bay,48.4001,-89.3168,-8.56,57,4,3.66,CA,1704327210
291,macusani,-14.0833,-70.4333,4.98,90,93,2.83,PE,1704327210
292,xinyuan,37.3,99.0,-12.8,30,66,2.27,CN,1704327211
293,ponnani,10.767,75.9252,24.62,76,94,4.58,IN,1704327212
294,urangan,-25.3,152.9,28.44,74,64,5.36,AU,1704327212
295,el granada,37.5027,-122.4694,14.36,79,20,10.29,US,1704327213
296,nogliki,51.8333,143.1667,-18.7,92,97,1.34,RU,1704327096
297,cabo san lucas,22.8909,-109.9124,23.75,58,0,7.72,MX,1704327087
298,egilsstadir,65.2653,-14.3948,-0.05,93,100,3.6,IS,1704327214
299,yiwu,29.3151,120.0768,3.97,74,15,0.84,CN,1704327119
300,mermoz boabab,14.7065,-17.4758,22.31,74,54,6.98,SN,1704327215
301,anadyr,64.75,177.4833,-14.72,92,75,7.0,RU,1704327216
302,niquero,20.0431,-77.5828,23.6,77,23,2.17,CU,1704327217
303,binzhou,37.3667,118.0167,0.02,66,0,2.72,CN,1704327217
304,kasongo-lunda,-6.4667,16.8167,19.99,98,71,0.44,CD,1704327219
305,palmer,42.1584,-72.3287,2.65,79,100,0.0,US,1704327219
306,awjilah,29.1081,21.2869,13.03,51,3,0.83,LY,1704327220
307,carmen,18.6333,-91.8333,24.02,88,20,0.0,MX,1704327220
308,remire-montjoly,4.9167,-52.2667,27.02,78,20,1.54,GF,1704327221
309,vilyuchinsk,52.9306,158.4028,-14.85,83,58,3.16,RU,1704327221
310,belmonte,-15.8631,-38.8828,26.41,86,90,4.25,BR,1704327222
311,baise city,23.8997,106.6133,12.03,86,17,0.62,CN,1704327222
312,sao joao da barra,-21.6403,-41.0511,23.86,96,100,3.54,BR,1704327050
313,omaruru,-21.4333,15.9333,21.95,52,31,1.51,NA,1704327223
314,rockingham,42.9668,-71.0995,3.28,79,93,1.63,US,1704327224
315,ketchikan,55.3422,-131.6461,8.99,93,100,4.12,US,1704327224
316,hlobyne,49.3878,33.2596,1.11,99,100,3.25,UA,1704327224
317,el molar,40.7322,-3.5797,8.7,91,100,0.56,ES,1704327225
318,nemuro,43.3236,145.575,-0.85,63,94,3.33,JP,1704327225
319,madingou,-4.1536,13.55,22.06,97,94,0.69,CG,1704327226
320,lyubinskiy,55.1542,72.6925,-21.85,97,100,3.7,RU,1704327226
321,quepos,9.4236,-84.1652,26.65,82,93,0.86,CR,1704327135
322,anastacio,-20.4836,-55.8069,27.2,75,50,0.86,BR,1704327227
323,pudozh,61.8099,36.5345,-31.7,99,10,1.34,RU,1704327228
324,kattivakkam,13.2167,80.3167,25.05,71,95,4.14,IN,1704327228
325,st. john's,47.5649,-52.7093,0.44,85,95,0.97,CA,1704327205
